num_qubits,num_repeats,time_taken
2,10,0.006336140632629395
2,100,0.006366205215454101
2,1000,0.014688754081726074
2,10000,0.10090224742889405
2,100000,1.0312973499298095
3,10,0.02236053943634033
3,100,0.010986757278442384
3,1000,0.022212576866149903
3,10000,0.15532174110412597
3,100000,1.6091509580612182
4,10,0.01156928539276123
4,100,0.013163232803344726
4,1000,0.02952754497528076
4,10000,0.20859851837158203
4,100000,2.090400528907776
5,10,0.05517711639404297
5,100,0.01710376739501953
5,1000,0.039452314376831055
5,10000,0.26125946044921877
5,100000,2.6130722522735597
6,10,0.023646283149719238
6,100,0.02097029685974121
6,1000,0.04762444496154785
6,10000,0.3205246925354004
6,100000,3.09249370098114
7,10,0.034179162979125974
7,100,0.04175922870635986
7,1000,0.06925399303436279
7,10000,0.3962931871414185
7,100000,3.6233601808547973
8,10,0.04232010841369629
8,100,0.04736776351928711
8,1000,0.08996169567108155
8,10000,0.45285835266113283
8,100000,4.120917630195618
9,10,0.09448559284210205
9,100,0.06334714889526367
9,1000,0.11377785205841065
9,10000,0.47522382736206054
9,100000,4.675141286849976
10,10,0.06801064014434814
10,100,0.07739872932434082
10,1000,0.1143148422241211
10,10000,0.5774736881256104
10,100000,5.246942567825317
11,10,0.17093443870544434
11,100,0.08801083564758301
11,1000,0.20269427299499512
11,10000,0.6499232053756714
11,100000,5.90471658706665
12,10,0.3358560562133789
12,100,0.3375302076339722
12,1000,0.4197648286819458
12,10000,0.8982819080352783
12,100000,6.588443088531494
13,10,0.8689347028732299
13,100,0.9132360219955444
13,1000,0.9452069520950317
13,10000,1.4681915760040283
13,100000,7.7629306554794315
14,10,3.5508581161499024
14,100,3.49023060798645
14,1000,3.595234417915344
14,10000,4.208682107925415
14,100000,10.870854878425598
