num_qubits,num_repeats,time_taken
2,10,0.00378115177154541
2,100,0.036954212188720706
2,1000,0.37235977649688723
2,10000,3.708399271965027
2,100000,37.261792349815366
3,10,0.024544024467468263
3,100,0.23462672233581544
3,1000,2.359284281730652
3,10000,23.586457586288454
3,100000,235.80570764541625
4,10,0.09460830688476562
4,100,0.9887758731842041
4,1000,9.905627822875976
4,10000,99.1264615535736
4,100000,994.6226276636123
5,10,0.33420913219451903
5,100,3.5083944320678713
5,1000,35.27422471046448
5,10000,352.8265751838684
5,100000,3543.5069789409636
6,10,1.2664815664291382
6,100,13.39551146030426
6,1000,134.8772867679596
6,10000,1350.4489998817444
