num_qubits,num_repeats,time_taken
1,10,0.02974843978881836
1,100,0.015307426452636719
1,1000,0.02399277687072754
1,10000,0.1108083724975586
1,100000,0.627129316329956
2,10,0.023161649703979492
2,100,0.01478886604309082
2,1000,0.015150308609008789
2,10000,0.07919144630432129
2,100000,0.7358756065368652
1,10,0.023413658142089844
1,100,0.014202117919921875
1,1000,0.01874375343322754
1,10000,0.12117123603820801
1,100000,0.4249267578125
2,10,0.00967264175415039
2,100,0.014929533004760742
2,1000,0.01508784294128418
2,10000,0.08102703094482422
2,100000,0.730083703994751
