in,out
0,0
1,5
2,6
3,3
4,4
5,1
6,10
7,7
8,11
9,14
10,-13
11,8
12,15
13,-10
14,9
15,12
16,16
17,21
18,22
19,19
20,20
21,17
22,26
23,23
24,27
25,30
26,-29
27,24
28,31
29,-26
30,25
31,28
32,32
33,37
34,38
35,35
36,36
37,33
38,42
39,39
40,43
41,46
42,-45
43,40
44,47
45,-42
46,41
47,44
48,48
49,53
50,54
51,51
52,52
53,49
54,58
55,55
56,59
57,62
58,-61
59,56
60,63
61,-58
62,57
63,60
64,64
65,69
66,70
67,67
68,68
69,65
70,74
71,71
72,75
73,78
74,-77
75,72
76,79
77,-74
78,73
79,76
80,80
81,85
82,86
83,83
84,84
85,81
86,90
87,87
88,91
89,94
90,-93
91,88
92,95
93,-90
94,89
95,92
96,96
97,101
98,102
99,99
100,100
101,97
102,106
103,103
104,107
105,110
106,-109
107,104
108,111
109,-106
110,105
111,108
112,112
113,117
114,118
115,115
116,116
117,113
118,122
119,119
120,123
121,126
122,-125
123,120
124,127
125,-122
126,121
127,124
128,128
129,133
130,134
131,131
132,132
133,129
134,138
135,135
136,139
137,142
138,-141
139,136
140,143
141,-138
142,137
143,140
144,144
145,149
146,150
147,147
148,148
149,145
150,154
151,151
152,155
153,158
154,-157
155,152
156,159
157,-154
158,153
159,156
160,160
161,165
162,166
163,163
164,164
165,161
166,170
167,167
168,171
169,174
170,-173
171,168
172,175
173,-170
174,169
175,172
176,176
177,181
178,182
179,179
180,180
181,177
182,186
183,183
184,187
185,190
186,-189
187,184
188,191
189,-186
190,185
191,188
192,192
193,197
194,198
195,195
196,196
197,193
198,202
199,199
200,203
201,206
202,-205
203,200
204,207
205,-202
206,201
207,204
208,208
209,213
210,214
211,211
212,212
213,209
214,218
215,215
216,219
217,222
218,-221
219,216
220,223
221,-218
222,217
223,220
224,224
225,229
226,230
227,227
228,228
229,225
230,234
231,231
232,235
233,238
234,-237
235,232
236,239
237,-234
238,233
239,236
240,240
241,245
242,246
243,243
244,244
245,241
246,250
247,247
248,251
249,254
250,-253
251,248
252,255
253,-250
254,249
255,252
